2025-08-29 14:58:22 [main] INFO  org.server.Server - Server started, waiting for clients...
2025-08-29 14:58:46 [pool-1-thread-1] INFO  org.neo4j.ogm.metadata.DomainInfo - Post-processing complete
2025-08-29 14:58:46 [pool-1-thread-1] INFO  o.n.o.drivers.bolt.driver.BoltDriver - Shutting down Bolt driver org.neo4j.driver.internal.InternalDriver@1815b304 
2025-08-29 14:58:46 [pool-1-thread-1] INFO  o.server.action.ConversationAction - Conversation found !
2025-08-29 14:58:46 [pool-1-thread-1] INFO  org.server.Server - {"messageType":"READ_TARGET_AVATAR","payload":"{\"@json_id\":\"cc1164cf-1e95-4d50-b659-6d8c84412dbf\",\"id\":3,\"userName\":null,\"displayName\":\"toto\",\"password\":\"$2a$10$QET0aBXPOZ.Qpfzbcyj22OtxUpPZRpQICEyTE4aVwUGzyK8rGVTjq\",\"emailAddress\":\"toto.toto@yahoo.fr\",\"avatar\":\"/images/avatar/avatar_default.png\",\"messages\":[],\"conversation\":[]}"}
2025-08-29 14:58:46 [pool-1-thread-1] INFO  org.server.Server - {"messageType":"READ_TARGET_AVATAR","payload":"{\"@json_id\":\"b7e384e4-0207-49b5-8751-7e2c0d204490\",\"id\":3,\"userName\":null,\"displayName\":\"toto\",\"password\":\"$2a$10$QET0aBXPOZ.Qpfzbcyj22OtxUpPZRpQICEyTE4aVwUGzyK8rGVTjq\",\"emailAddress\":\"toto.toto@yahoo.fr\",\"avatar\":\"/images/avatar/avatar_default.png\",\"messages\":[],\"conversation\":[]}"}
2025-08-29 14:58:46 [pool-1-thread-1] INFO  org.server.Server - {"messageType":"READ_TARGET_AVATAR","payload":"{\"@json_id\":\"39e80e5e-adf3-4d9f-a55a-50bf4cb173f9\",\"id\":3,\"userName\":null,\"displayName\":\"toto\",\"password\":\"$2a$10$QET0aBXPOZ.Qpfzbcyj22OtxUpPZRpQICEyTE4aVwUGzyK8rGVTjq\",\"emailAddress\":\"toto.toto@yahoo.fr\",\"avatar\":\"/images/avatar/avatar_default.png\",\"messages\":[],\"conversation\":[]}"}
2025-08-29 14:58:46 [pool-1-thread-1] INFO  org.server.Server - {"messageType":"READ_TARGET_AVATAR","payload":"{\"@json_id\":\"fa74c0b1-523a-4e98-85b8-e990ee2fe4d3\",\"id\":0,\"userName\":null,\"displayName\":\"toto\",\"password\":\"$2a$10$U9qpjYgWdBnqsGjux934kuky3CVGEC.VBsxWybAezoy.nBOcbc7Im\",\"emailAddress\":\"toto1.toto@yahoo.fr\",\"avatar\":\"/images/avatar/avatar_default.png\",\"messages\":[],\"conversation\":[]}"}
2025-08-29 14:58:46 [pool-1-thread-1] INFO  org.server.Server - {"messageType":"READ_TARGET_AVATAR","payload":"{\"@json_id\":\"2b1f7a5f-b665-4445-8625-5529abff500c\",\"id\":3,\"userName\":null,\"displayName\":\"toto\",\"password\":\"$2a$10$QET0aBXPOZ.Qpfzbcyj22OtxUpPZRpQICEyTE4aVwUGzyK8rGVTjq\",\"emailAddress\":\"toto.toto@yahoo.fr\",\"avatar\":\"/images/avatar/avatar_default.png\",\"messages\":[],\"conversation\":[]}"}
2025-08-29 14:58:46 [pool-1-thread-1] INFO  org.server.Server - {"messageType":"READ_TARGET_AVATAR","payload":"{\"@json_id\":\"aeeb01da-d638-48a9-8e56-e01b3830171e\",\"id\":0,\"userName\":null,\"displayName\":\"toto\",\"password\":\"$2a$10$U9qpjYgWdBnqsGjux934kuky3CVGEC.VBsxWybAezoy.nBOcbc7Im\",\"emailAddress\":\"toto1.toto@yahoo.fr\",\"avatar\":\"/images/avatar/avatar_default.png\",\"messages\":[],\"conversation\":[]}"}
2025-08-29 14:58:46 [pool-1-thread-1] INFO  org.server.Server - {"messageType":"READ_TARGET_AVATAR","payload":"{\"@json_id\":\"e1fe8aad-fa0e-4a50-8746-75944cf0e936\",\"id\":0,\"userName\":null,\"displayName\":\"toto\",\"password\":\"$2a$10$U9qpjYgWdBnqsGjux934kuky3CVGEC.VBsxWybAezoy.nBOcbc7Im\",\"emailAddress\":\"toto1.toto@yahoo.fr\",\"avatar\":\"/images/avatar/avatar_default.png\",\"messages\":[],\"conversation\":[]}"}
2025-08-29 14:58:47 [pool-1-thread-1] INFO  org.server.Server - {"messageType":"READ_TARGET_AVATAR","payload":"{\"@json_id\":\"35fdaaaf-100e-4c72-8dfc-6e0a016210f4\",\"id\":3,\"userName\":null,\"displayName\":\"toto\",\"password\":\"$2a$10$QET0aBXPOZ.Qpfzbcyj22OtxUpPZRpQICEyTE4aVwUGzyK8rGVTjq\",\"emailAddress\":\"toto.toto@yahoo.fr\",\"avatar\":\"/images/avatar/avatar_default.png\",\"messages\":[],\"conversation\":[]}"}
2025-08-29 14:58:47 [pool-1-thread-1] INFO  org.server.Server - {"messageType":"READ_TARGET_AVATAR","payload":"{\"@json_id\":\"a767565f-11c3-4c8a-8244-a514198e26ae\",\"id\":3,\"userName\":null,\"displayName\":\"toto\",\"password\":\"$2a$10$QET0aBXPOZ.Qpfzbcyj22OtxUpPZRpQICEyTE4aVwUGzyK8rGVTjq\",\"emailAddress\":\"toto.toto@yahoo.fr\",\"avatar\":\"/images/avatar/avatar_default.png\",\"messages\":[],\"conversation\":[]}"}
2025-08-29 14:58:47 [pool-1-thread-1] INFO  org.server.Server - {"messageType":"READ_TARGET_AVATAR","payload":"{\"@json_id\":\"fb26176f-9d13-4926-9e07-10336ddc38c2\",\"id\":0,\"userName\":null,\"displayName\":\"toto\",\"password\":\"$2a$10$U9qpjYgWdBnqsGjux934kuky3CVGEC.VBsxWybAezoy.nBOcbc7Im\",\"emailAddress\":\"toto1.toto@yahoo.fr\",\"avatar\":\"/images/avatar/avatar_default.png\",\"messages\":[],\"conversation\":[]}"}
2025-08-29 14:58:47 [pool-1-thread-1] INFO  org.server.Server - {"messageType":"READ_TARGET_AVATAR","payload":"{\"@json_id\":\"ad84cc3c-20d7-4434-9cb8-f78800503df6\",\"id\":3,\"userName\":null,\"displayName\":\"toto\",\"password\":\"$2a$10$QET0aBXPOZ.Qpfzbcyj22OtxUpPZRpQICEyTE4aVwUGzyK8rGVTjq\",\"emailAddress\":\"toto.toto@yahoo.fr\",\"avatar\":\"/images/avatar/avatar_default.png\",\"messages\":[],\"conversation\":[]}"}
2025-08-29 14:58:47 [pool-1-thread-1] INFO  org.server.Server - {"messageType":"READ_TARGET_AVATAR","payload":"{\"@json_id\":\"22911aa2-2ebd-4edd-ac0d-fd4cdc916baa\",\"id\":3,\"userName\":null,\"displayName\":\"toto\",\"password\":\"$2a$10$QET0aBXPOZ.Qpfzbcyj22OtxUpPZRpQICEyTE4aVwUGzyK8rGVTjq\",\"emailAddress\":\"toto.toto@yahoo.fr\",\"avatar\":\"/images/avatar/avatar_default.png\",\"messages\":[],\"conversation\":[]}"}
2025-08-29 14:58:47 [pool-1-thread-1] INFO  org.server.Server - {"messageType":"READ_TARGET_AVATAR","payload":"{\"@json_id\":\"e38a6ceb-73e7-4521-9d99-3ee32c933629\",\"id\":3,\"userName\":null,\"displayName\":\"toto\",\"password\":\"$2a$10$QET0aBXPOZ.Qpfzbcyj22OtxUpPZRpQICEyTE4aVwUGzyK8rGVTjq\",\"emailAddress\":\"toto.toto@yahoo.fr\",\"avatar\":\"/images/avatar/avatar_default.png\",\"messages\":[],\"conversation\":[]}"}
2025-08-29 14:58:47 [pool-1-thread-1] INFO  org.server.Server - {"messageType":"READ_TARGET_AVATAR","payload":"{\"@json_id\":\"313c5ca1-5a9e-4790-af9f-5f1ef134f46c\",\"id\":0,\"userName\":null,\"displayName\":\"toto\",\"password\":\"$2a$10$U9qpjYgWdBnqsGjux934kuky3CVGEC.VBsxWybAezoy.nBOcbc7Im\",\"emailAddress\":\"toto1.toto@yahoo.fr\",\"avatar\":\"/images/avatar/avatar_default.png\",\"messages\":[],\"conversation\":[]}"}
2025-08-29 14:58:47 [pool-1-thread-1] INFO  org.server.Server - {"messageType":"READ_TARGET_AVATAR","payload":"{\"@json_id\":\"c39afde9-c3d7-47c6-93b6-431ece97b185\",\"id\":3,\"userName\":null,\"displayName\":\"toto\",\"password\":\"$2a$10$QET0aBXPOZ.Qpfzbcyj22OtxUpPZRpQICEyTE4aVwUGzyK8rGVTjq\",\"emailAddress\":\"toto.toto@yahoo.fr\",\"avatar\":\"/images/avatar/avatar_default.png\",\"messages\":[],\"conversation\":[]}"}
2025-08-29 14:58:51 [pool-1-thread-1] INFO  org.server.Server - {"messageType":"ONLINE_USERS_FETCH","payload":""}
2025-08-29 14:58:55 [pool-1-thread-1] INFO  org.server.Server - {"messageType":"ONLINE_USERS_FETCH","payload":""}
2025-08-29 14:59:01 [pool-1-thread-1] INFO  org.server.Server - {"messageType":"ONLINE_USERS_FETCH","payload":""}
2025-08-29 14:59:05 [pool-1-thread-1] INFO  org.server.Server - {"messageType":"ONLINE_USERS_FETCH","payload":""}
2025-08-29 14:59:11 [pool-1-thread-1] INFO  org.server.Server - {"messageType":"ONLINE_USERS_FETCH","payload":""}
2025-08-29 14:59:15 [pool-1-thread-1] INFO  org.server.Server - {"messageType":"ONLINE_USERS_FETCH","payload":""}
2025-08-29 14:59:16 [pool-1-thread-1] INFO  org.server.Server - {"messageType":"USER_EXIT","payload":"{\"@json_id\":\"338e908e-3e57-4f09-b1c4-b82137e2aec0\",\"id\":0,\"userName\":null,\"displayName\":\"toto\",\"password\":\"$2a$10$U9qpjYgWdBnqsGjux934kuky3CVGEC.VBsxWybAezoy.nBOcbc7Im\",\"emailAddress\":\"toto1.toto@yahoo.fr\",\"avatar\":\"/images/avatar/avatar_default.png\",\"messages\":[],\"conversation\":[{\"@json_id\":\"2d533aed-22fc-415d-90e3-f578090a5755\",\"id\":14,\"messages\":[{\"@json_id\":\"f1536770-7f76-40a8-bb50-5818b3fd58f7\",\"id\":6,\"time\":[2025,8,24,18,34,42,319695466],\"content\":\"test\",\"readStatuses\":[{\"@json_id\":\"39ad39a3-6070-462e-bc70-1c74e672f324\",\"id\":null,\"message\":\"f1536770-7f76-40a8-bb50-5818b3fd58f7\",\"user\":{\"@json_id\":\"3fa06cf4-0097-4560-a1e1-95244bf0b26e\",\"id\":0,\"userName\":null,\"displayName\":\"toto\",\"password\":\"$2a$10$U9qpjYgWdBnqsGjux934kuky3CVGEC.VBsxWybAezoy.nBOcbc7Im\",\"emailAddress\":\"toto1.toto@yahoo.fr\",\"avatar\":\"/images/avatar/avatar_default.png\",\"messages\":[],\"conversation\":[]},\"read\":false}],\"sender\":null},{\"@json_id\":\"892e1c0a-5846-4aab-b194-2b50a0c914cf\",\"id\":13,\"time\":[2025,8,24,18,34,42,319695466],\"content\":\"test\",\"readStatuses\":[],\"sender\":null},{\"@json_id\":\"7893cbe9-6581-48a3-9857-bc44e2b65430\",\"id\":10,\"time\":[2025,8,26,17,40,20,650821602],\"content\":\"tt\",\"readStatuses\":[],\"sender\":null},{\"@json_id\":\"c4ee7b0f-2b5f-4b62-9611-f4c9d75bdec3\",\"id\":11,\"time\":[2025,8,26,17,46,56,123167534],\"content\":\"test\",\"readStatuses\":[],\"sender\":null},{\"@json_id\":\"01637380-4922-4a49-84ba-1c5e0d76ee9b\",\"id\":12,\"time\":[2025,8,26,17,50,8,112223965],\"content\":\"another test\",\"readStatuses\":[],\"sender\":null},{\"@json_id\":\"a489d82a-91c8-4e1e-8868-e97892309bbb\",\"id\":15,\"time\":[2025,8,26,17,52,7,396533884],\"content\":\"test\",\"readStatuses\":[],\"sender\":null},{\"@json_id\":\"8bafcbbd-0bd2-435c-b1ba-175c1f01aba7\",\"id\":16,\"time\":[2025,8,26,17,59,3,588834298],\"content\":\"test\",\"readStatuses\":[],\"sender\":null},{\"@json_id\":\"bb2adacf-8465-4c74-ad58-97e178fff905\",\"id\":2,\"time\":[2025,8,26,18,15,6,296484989],\"content\":\"Another test\",\"readStatuses\":[],\"sender\":null},{\"@json_id\":\"6d90e3ce-f9c8-4c21-bce4-ca8130f36e46\",\"id\":17,\"time\":[2025,8,26,18,18,55,362594141],\"content\":\"abc\",\"readStatuses\":[],\"sender\":null},{\"@json_id\":\"8fc3dea6-1409-476a-a0cd-fd00964e54c8\",\"id\":18,\"time\":[2025,8,26,18,29,23,618545714],\"content\":\"efg\",\"readStatuses\":[],\"sender\":null},{\"@json_id\":\"4143d10e-5e36-4bfc-b44e-daedd92e4def\",\"id\":19,\"time\":[2025,8,26,18,32,18,62231137],\"content\":\"TOTO\",\"readStatuses\":[{\"@json_id\":\"df5c95a7-b88a-4334-949c-6f4abd98a521\",\"id\":null,\"message\":\"4143d10e-5e36-4bfc-b44e-daedd92e4def\",\"user\":\"3fa06cf4-0097-4560-a1e1-95244bf0b26e\",\"read\":false}],\"sender\":null},{\"@json_id\":\"0442d0a3-83b0-4d0f-8206-a0e86ed15232\",\"id\":20,\"time\":[2025,8,26,18,35,1,950448013],\"content\":\"message sent !\",\"readStatuses\":[{\"@json_id\":\"5a38c1d2-7c06-447f-b99f-0733838efdcf\",\"id\":null,\"message\":\"0442d0a3-83b0-4d0f-8206-a0e86ed15232\",\"user\":\"3fa06cf4-0097-4560-a1e1-95244bf0b26e\",\"read\":false}],\"sender\":null},{\"@json_id\":\"1148342f-78b8-45ff-96c4-17e946bf049a\",\"id\":21,\"time\":[2025,8,26,18,36,57,706280074],\"content\":\"another test\",\"readStatuses\":[{\"@json_id\":\"a2ed3d3d-fd98-469b-814f-2574a5bf3e07\",\"id\":null,\"message\":\"1148342f-78b8-45ff-96c4-17e946bf049a\",\"user\":\"3fa06cf4-0097-4560-a1e1-95244bf0b26e\",\"read\":true}],\"sender\":null},{\"@json_id\":\"a78c2c43-3f65-4d69-8575-128a005ee0de\",\"id\":22,\"time\":[2025,8,28,10,27,11,281676597],\"content\":\"Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages, and more recently with desktop publishing software like Aldus PageMaker including versions of Lorem Ipsum.\",\"readStatuses\":[{\"@json_id\":\"f6fa1361-2f6b-4572-9b17-5910e6232589\",\"id\":null,\"message\":\"a78c2c43-3f65-4d69-8575-128a005ee0de\",\"user\":\"3fa06cf4-0097-4560-a1e1-95244bf0b26e\",\"read\":false}],\"sender\":null}],\"participants\":[{\"@json_id\":\"a2404d31-0b7f-40c9-a414-fbfdc92552c4\",\"id\":0,\"userName\":null,\"displayName\":\"toto\",\"password\":\"$2a$10$U9qpjYgWdBnqsGjux934kuky3CVGEC.VBsxWybAezoy.nBOcbc7Im\",\"emailAddress\":\"toto1.toto@yahoo.fr\",\"avatar\":\"/images/avatar/avatar_default.png\",\"messages\":[],\"conversation\":[]},{\"@json_id\":\"468d119b-23cc-4c6c-a1d7-6f19dedb0bf4\",\"id\":3,\"userName\":null,\"displayName\":\"toto\",\"password\":\"$2a$10$QET0aBXPOZ.Qpfzbcyj22OtxUpPZRpQICEyTE4aVwUGzyK8rGVTjq\",\"emailAddress\":\"toto.toto@yahoo.fr\",\"avatar\":\"/images/avatar/avatar_default.png\",\"messages\":[],\"conversation\":[]}]}]}"}
